Time,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/rf_ext/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/ibuf/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/csr/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/div/
670547,1250000.0,407100.0,146100.0,134000.0,200.0
670549,1290000.0,265800.0,202500.0,130200.0,-100.0
670551,1570000.0,345900.0,213900.0,100300.0,400.0
670553,1000000.0,253700.0,163400.0,92400.0,-300.0
670555,1050000.0,289000.0,242600.0,193100.0,-200.0
670557,880000.0,245900.0,143900.0,62200.0,0.0
670559,1010000.0,230300.0,234200.0,86400.0,-200.0
670561,1160000.0,374200.0,208900.0,136300.0,9900.0
670563,890000.0,208900.0,136800.0,117700.0,10000.0
670565,920000.0,217500.0,161800.0,71900.0,200.0
670567,1210000.0,240700.0,198500.0,134800.0,4500.0
670569,1340000.0,163500.0,207500.0,84700.0,200.0
670571,920000.0,183300.0,108700.0,53800.0,6300.0
670573,1290000.0,368800.0,173500.0,213300.0,13300.0
670575,870000.0,182900.0,82900.0,142300.0,12700.0
670577,770000.0,201000.0,173600.0,49600.0,-100.0
670579,1190000.0,200300.0,197400.0,82400.0,-500.0
670581,1710000.0,366000.0,304900.0,46200.0,200.0
670583,1620000.0,297000.0,232700.0,81100.0,-300.0
670585,1630000.0,293000.0,179300.0,71500.0,-100.0
670587,1660000.0,257500.0,199700.0,289300.0,-100.0
670589,560000.0,165100.0,24300.0,154500.0,-300.0
670591,1270000.0,231700.0,189800.0,35400.0,3700.0
670593,1030000.0,287800.0,169600.0,16200.0,1800.0
670595,600000.0,158800.0,34500.0,106700.0,-100.0
670597,830000.0,221100.0,176000.0,46900.0,100.0
670599,930000.0,129700.0,182100.0,23800.0,-200.0
670601,580000.0,71100.0,26100.0,165200.0,-300.0
670603,1390000.0,201100.0,236300.0,137500.0,100.0
670605,1350000.0,193100.0,224000.0,23400.0,700.0
670607,1670000.0,209500.0,244500.0,174500.0,-300.0
670609,1400000.0,157700.0,209000.0,158700.0,600.0
670611,1860000.0,227100.0,190300.0,306500.0,3900.0
670613,1900000.0,285300.0,237100.0,223600.0,1200.0
670615,1710000.0,371800.0,214000.0,207700.0,3200.0
670617,1530000.0,337900.0,188700.0,95200.0,-300.0
670619,1560000.0,401400.0,195700.0,120800.0,-1200.0
670621,930000.0,195800.0,33200.0,198900.0,-600.0
670623,1550000.0,259300.0,282800.0,106100.0,3500.0
670625,1390000.0,313200.0,202200.0,29200.0,1700.0
670627,1230000.0,220600.0,180500.0,171300.0,0.0
670629,1430000.0,328000.0,220500.0,155300.0,-100.0
670631,1870000.0,314100.0,310400.0,198900.0,400.0
670633,1810000.0,344300.0,297700.0,131500.0,-500.0
670635,2360000.0,207200.0,221300.0,86700.0,-100.0
670637,2120000.0,214700.0,94100.0,255300.0,200.0
670639,1330000.0,415400.0,122400.0,255900.0,0.0
670641,1330000.0,256800.0,173400.0,189800.0,0.0
670643,1050000.0,248000.0,111300.0,63900.0,900.0
670645,1880000.0,341400.0,299100.0,113000.0,-700.0
670647,2000000.0,318400.0,283000.0,262300.0,-200.0
670649,2580000.0,324100.0,251800.0,174100.0,0.0
670651,2670000.0,375900.0,246300.0,321400.0,4900.0
670653,2170000.0,441400.0,202400.0,191100.0,4800.0
670655,1590000.0,272900.0,198200.0,257800.0,-700.0
670657,1580000.0,399300.0,184800.0,146800.0,3600.0
670659,1710000.0,539700.0,235400.0,223800.0,2500.0
670661,1540000.0,346200.0,183500.0,196200.0,-300.0
670663,1570000.0,300200.0,258900.0,159500.0,0.0
670665,1390000.0,300300.0,243300.0,151700.0,2700.0
670667,1310000.0,282800.0,145600.0,218500.0,2400.0
670669,1440000.0,406900.0,180400.0,153800.0,-400.0
670671,1670000.0,336200.0,210400.0,194600.0,300.0
670673,1400000.0,316700.0,197800.0,44500.0,-100.0
